Продукт,углеводы(г/100г),белки(г/100г),жиры(г/100г),ккал(100г)
Плоды кариссы свежие,13.63 г,0.50 г,1.30 г,55 кКал
Черимойя свежий,17.71 г,1.57 г,0.68 г,71 кКал
Вишня свежая,12.18 г,1.00 г,0.30 г,49 кКал
Старфрут (карамбола) свежий,6.73 г,1.04 г,0.33 г,27 кКал
Сок абрикосовый (нектар) консервированный,14.39 г,0.37 г,0.09 г,58 кКал
Авокадо свежее,8.53 г,2.00 г,14.66 г,34 кКал
Бананы сушёные,88.28 г,3.89 г,1.81 г,353 кКал
Ежевика свежая,9.61 г,1.39 г,0.49 г,38 кКал
Сок ежевичный консервированный,7.80 г,0.30 г,0.60 г,31 кКал
Бананы свежие,22.84 г,1.09 г,0.33 г,91 кКал
Ежевика замороженная,15.67 г,1.18 г,0.43 г,63 кКал
Смородина красная или белая свежая,13.80 г,1.40 г,0.20 г,55 кКал
Сахарное яблоко свежее,25.20 г,1.70 г,0.60 г,101 кКал
Финики Деглет нур,75.03 г,2.45 г,0.39 г,300 кКал
Бузина свежая,18.40 г,0.66 г,0.50 г,74 кКал
Инжир свежий,19.18 г,0.75 г,0.30 г,77 кКал
Инжир сушёный,63.87 г,3.30 г,0.93 г,255 кКал
Вишня замороженная,11.02 г,0.92 г,0.44 г,44 кКал
Клюква свежая,11.97 г,0.46 г,0.13 г,48 кКал
Клюква сушёная,82.80 г,0.17 г,1.09 г,331 кКал
Смородина чёрная свежая,15.38 г,1.40 г,0.41 г,62 кКал
Виноград (мускатные сорта) свежий,13.93 г,0.81 г,0.47 г,56 кКал
Виноград (красный или зелёный) свежий,18.10 г,0.72 г,0.16 г,72 кКал
Крыжовник свежий,10.18 г,0.88 г,0.58 г,41 кКал
Грейпфрут свежий,10.66 г,0.77 г,0.14 г,43 кКал
Ягоды годжи сушёные,77.06 г,14.26 г,0.39 г,308 кКал
Белый или жёлтый грейпфрут свежий,8.41 г,0.69 г,0.10 г,34 кКал
Сок лимонный свежий,6.90 г,0.35 г,0.24 г,28 кКал
Лимон свежий. без кожуры,9.32 г,1.10 г,0.30 г,37 кКал
Цедра лимона (кожура) свежая,16.00 г,1.50 г,0.30 г,64 кКал
Лайм свежий,10.54 г,0.70 г,0.20 г,42 кКал
Сок лайма свежий,8.42 г,0.42 г,0.07 г,34 кКал
Личи свежие,16.53 г,0.83 г,0.44 г,66 кКал
Сок виноградный консервированный,14.77 г,0.37 г,0.13 г,59 кКал
Физалис свежий,11.20 г,1.90 г,0.70 г,45 кКал
Гуава свежая,14.32 г,2.55 г,0.95 г,57 кКал
Джекфрут свежий,23.25 г,1.72 г,0.64 г,93 кКал
Джамболан свежий,15.56 г,0.72 г,0.23 г,62 кКал
Ююба (китайский финик) свежий,20.23 г,1.20 г,0.20 г,81 кКал
Киви свежий,14.66 г,1.14 г,0.52 г,59 кКал
Кумкват свежий,15.90 г,1.88 г,0.86 г,64 кКал
Яблоки Голден свежие,13.60 г,0.28 г,0.15 г,54 кКал
Яблоки зелёные (Гренни Смит) свежие,13.61 г,0.44 г,0.19 г,54 кКал
Яблоки красные свежие,14.06 г,0.27 г,0.20 г,56 кКал
Ананасы консервированные,15.56 г,0.51 г,0.11 г,62 кКал
Абрикосы консервированные,21.31 г,0.64 г,0.11 г,85 кКал
Фейхоа свежая,15.21 г,0.71 г,0.42 г,61 кКал
Персики консервированные,18.43 г,0.52 г,0.18 г,74 кКал
Груша консервированная,19.08 г,0.24 г,0.18 г,76 кКал
Финики Маджуль,74.97 г,1.81 г,0.15 г,300 кКал
Дуриан свежий,27.09 г,1.47 г,5.33 г,108 кКал
Клементин свежий,12.02 г,0.85 г,0.15 г,48 кКал
Сок грейпфрутовый свежий,9.20 г,0.50 г,0.10 г,37 кКал
Груша Конференция свежая,16.10 г,0.36 г,0.09 г,64 кКал
Кивано свежая,7.56 г,1.78 г,1.26 г,30 кКал
Наранхилья замороженная,5.90 г,0.44 г,0.22 г,24 кКал
Сок сметанного яблока (нектар) консервированный,14.93 г,0.11 г,0.17 г,60 кКал
Сок манго (нектар) консервированный,13.12 г,0.11 г,0.06 г,52 кКал
Сок гранатовый консервированный,13.13 г,0.15 г,0.29 г,53 кКал
Ветчина,3.83 г,16.60 г,8.60 г,15 кКал
Колбаса кровяная,1.29 г,14.60 г,34.50 г,5 кКал
Колбаса докторская,3.05 г,16.37 г,25.39 г,12 кКал
Паштет печёночный,1.50 г,14.20 г,28.00 г,6 кКал
Колбаса Пепперони,1.18 г,19.25 г,46.28 г,5 кКал
Салями,0.72 г,21.07 г,31.65 г,3 кКал
Сосиски,2.42 г,12.00 г,28.73 г,10 кКал
Сосиски молочные,1.92 г,13.28 г,27.61 г,8 кКал
Салат корн свежий,3.60 г,2.00 г,0.40 г,14 кКал
Вигна в сыром виде,8.35 г,2.80 г,0.40 г,33 кКал
Кукуруза в сыром виде,18.70 г,3.27 г,1.35 г,75 кКал
Кукуруза варёная,20.98 г,3.41 г,1.50 г,84 кКал
Кукуруза консервированная,14.34 г,2.29 г,1.22 г,57 кКал
Кукуруза замороженная,20.71 г,3.02 г,0.78 г,83 кКал
Топинамбур в сыром виде,17.44 г,2.00 г,0.01 г,70 кКал
Гриб древесный сырой,6.75 г,0.48 г,0.04 г,27 кКал
Капуста кудрявая в сыром виде,8.75 г,4.28 г,0.93 г,35 кКал
Кресс-салат свежий,5.50 г,2.60 г,0.70 г,22 кКал
Вигна приготовленная (варёная),9.18 г,2.53 г,0.10 г,37 кКал
Огурцы свежие,3.63 г,0.65 г,0.11 г,15 кКал
Листья одуванчика свежие,9.20 г,2.70 г,0.70 г,37 кКал
Баклажан свежий,5.88 г,0.98 г,0.18 г,24 кКал
Эдамаме замороженные,7.61 г,11.22 г,4.73 г,30 кКал
Эдамаме приготовленные,8.91 г,11.91 г,5.20 г,36 кКал
Эндивий свежий,3.35 г,1.25 г,0.20 г,13 кКал
Баклажан приготовленный,8.73 г,0.83 г,0.23 г,35 кКал
Эскариоль приготовленный,3.07 г,1.15 г,0.18 г,12 кКал
Чеснок в сыром виде,33.06 г,6.36 г,0.50 г,132 кКал
Корень имбиря в сыром виде,17.77 г,1.82 г,0.75 г,71 кКал
Салат римский свежий,3.29 г,1.23 г,0.30 г,13 кКал
Салат айсберг свежий,2.97 г,0.90 г,0.14 г,12 кКал
Салат латук свежий,2.87 г,1.36 г,0.15 г,11 кКал
Салат кочанный свежий,2.23 г,1.35 г,0.22 г,9 кКал
Салат латук красный свежий,2.26 г,1.33 г,0.22 г,9 кКал
Шампиньоны варёные или тушёные,5.29 г,2.17 г,0.47 г,21 кКал
Шампиньоны жареные,4.04 г,3.58 г,0.33 г,16 кКал
Шампиньоны сырые,3.26 г,3.09 г,0.34 г,13 кКал
Шампиньоны консервированные,5.09 г,1.87 г,0.29 г,20 кКал
Грибы портобелло сырые,3.87 г,2.11 г,0.35 г,15 кКал
Шампиньоны коричневые сырые,4.30 г,2.50 г,0.10 г,17 кКал
Грибы шиитаке сырые,6.79 г,2.24 г,0.49 г,27 кКал
Грибы лисички сырые,6.86 г,1.49 г,0.53 г,27 кКал
Кольраби свежая,6.20 г,1.70 г,0.10 г,25 кКал
Кольраби (капуста) варёная,6.69 г,1.80 г,0.11 г,27 кКал
Грибы портобелло жареные,4.44 г,3.28 г,0.58 г,18 кКал
Грибы сморчки сырые,5.10 г,3.12 г,0.57 г,20 кКал
Лебеда свежая,7.30 г,4.20 г,0.80 г,29 кКал
Марь белая отваренная,5.00 г,3.20 г,0.70 г,20 кКал
Лук-порей свежий,14.15 г,1.50 г,0.30 г,57 кКал
Лук-порей приготовленный,7.62 г,0.81 г,0.20 г,30 кКал
Чечевица пророщенная в свежем виде,22.14 г,8.96 г,0.55 г,89 кКал
Лук репчатый жареный,7.86 г,0.95 г,10.80 г,31 кКал
Лук зелёный свежий,5.74 г,0.97 г,0.47 г,23 кКал
Лук-батун свежий,6.50 г,1.90 г,0.40 г,26 кКал
Лук репчатый красный (сладкий) свежий,7.55 г,0.80 г,0.08 г,30 кКал
Петрушка свежая,6.33 г,2.97 г,0.79 г,25 кКал
Пастернак корень в сыром виде,17.99 г,1.20 г,0.30 г,72 кКал
Грибы шиитаке сушёные,75.37 г,9.58 г,0.99 г,301 кКал
Грибы шиитаке приготовленные,14.39 г,1.56 г,0.22 г,58 кКал
Листовая горчица свежая,4.67 г,2.86 г,0.42 г,19 кКал
Шпинат горчичный свежий,3.90 г,2.20 г,0.30 г,16 кКал
Шпинат новозеландский свежий,2.50 г,1.50 г,0.20 г,10 кКал
Бамия в сыром виде,7.45 г,1.93 г,0.19 г,30 кКал
Лук репчатый свежий,9.34 г,1.10 г,0.10 г,37 кКал
Лук репчатый варёный,10.15 г,1.36 г,0.19 г,41 кКал
Перец болгарский зелёный. свежий,4.64 г,0.86 г,0.17 г,19 кКал
Зелёный горошек свежий,14.45 г,5.42 г,0.40 г,58 кКал
Зелёный горошек отварной,15.63 г,5.36 г,0.22 г,63 кКал
Зелёный горошек замороженный,13.62 г,5.22 г,0.40 г,54 кКал
Горох пророщенный в свежем виде,27.11 г,8.80 г,0.68 г,108 кКал
Спаржа замороженная,4.10 г,3.23 г,0.23 г,16 кКал
Бамбуковые побеги в сыром виде,5.20 г,2.60 г,0.30 г,21 кКал
Бамбуковые побеги варёные,1.92 г,1.53 г,0.22 г,8 кКал
Бамбуковые побеги консервированные,3.22 г,1.72 г,0.40 г,13 кКал
Фасоль красная (Кидни) пророщенная в свежем виде,4.10 г,4.20 г,0.50 г,16 кКал
Семена люцерны пророщенные в свежем виде,2.10 г,3.99 г,0.69 г,8 кКал
Листья амаранта свежие,4.02 г,2.46 г,0.33 г,16 кКал
Артишоки свежие,10.51 г,3.27 г,0.15 г,42 кКал
Артишоки варёные,11.95 г,2.89 г,0.34 г,48 кКал
Артишоки замороженные,7.75 г,2.63 г,0.43 г,31 кКал
Спаржа в сыром виде,3.88 г,2.20 г,0.12 г,16 кКал
Спаржа варёная,4.11 г,2.40 г,0.22 г,16 кКал
Спаржа консервированная,2.46 г,2.14 г,0.65 г,10 кКал
Фасоль стручковая в сыром виде. спаржевая,6.97 г,1.83 г,0.22 г,28 кКал
Фасоль стручковая варёная (спаржевая),7.88 г,1.89 г,0.28 г,32 кКал
Фасоль стручковая замороженная (спаржевая),7.54 г,1.79 г,0.21 г,30 кКал
Маш пророщенный в свежем виде,5.94 г,3.04 г,0.18 г,24 кКал
Свекла консервированная,7.21 г,0.91 г,0.14 г,29 кКал
Ботва свекольная в свежем виде,4.33 г,2.20 г,0.13 г,17 кКал
Бобы зелёные свежие,11.70 г,5.60 г,0.60 г,47 кКал
Бобы зелёные варёные,10.10 г,4.80 г,0.50 г,40 кКал
Брокколи варёная,7.18 г,2.38 г,0.41 г,29 кКал
Брокколи свежая,6.64 г,2.82 г,0.37 г,27 кКал
Брокколи замороженная,5.35 г,3.06 г,0.34 г,21 кКал
Брокколи рааб свежая,2.85 г,3.17 г,0.49 г,11 кКал
Брокколи рааб приготовленная,3.12 г,3.83 г,0.52 г,12 кКал
Брюссельская капуста свежая,8.95 г,3.38 г,0.30 г,36 кКал
Брюссельская капуста варёная,7.10 г,2.55 г,0.50 г,28 кКал
Свекла варёная,9.96 г,1.68 г,0.18 г,40 кКал
Свекла сырая,9.56 г,1.61 г,0.17 г,38 кКал
Капуста квашеная (кимчи),2.40 г,1.10 г,0.50 г,10 кКал
Артишоки испанские свежие,4.07 г,0.70 г,0.10 г,16 кКал
Артишоки испанские варёные,5.33 г,0.76 г,0.11 г,21 кКал
